"county","state","GEOID","lon","lat","P_total","P_white","P_black","P_asian","P_native","P_hawaiian","P_others","P_below_middle_school","P_some_high_school","P_high_school_equivalent","P_some_college","P_bachelor_and_above","P_below_poverty","median_age","gini_index","median_household_income","median_rent_per_income","percent_no_internet"
"Anchorage Municipality","AK","05000US02020",-149.2743541,61.177549,298192,184841,16102,27142,23916,7669,7935,2234,8196,44804,66162,70713,18302,33,0.4018,85634,28,6.59388687778506
"Fairbanks North Star Borough","AK","05000US02090",-146.5998673,64.6908322,100605,75501,4385,3875,7427,503,2357,924,1527,14725,24570,19257,9580,30.6,0.3756,77328,25.6,12.1024578027835
"Matanuska-Susitna Borough","AK","05000US02170",-149.407974,62.1821735,104365,86314,1019,1083,5455,141,325,337,2755,21071,28472,12841,9893,34.2,0.4351,69332,29.6,11.1565748226365
"Baldwin County","AL","05000US01003",-87.7460666,30.6592183,208563,180484,18821,914,1383,0,1469,3245,10506,41822,46790,43547,23375,42.4,0.4498,56732,29.3,17.8681670769351
"Calhoun County","AL","05000US01015",-85.8225133,33.7717061,114611,NA,NA,NA,NA,NA,NA,2455,8853,24761,26625,12909,18193,39.1,0.4692,41687,24.8,23.4649322296007
"Cullman County","AL","05000US01043",-86.8692666,34.1319229,82471,NA,NA,NA,NA,NA,NA,3273,8398,18481,16268,9732,11524,40.4,0.4518,39411,29.7,23.2944981682564
"DeKalb County","AL","05000US01049",-85.803992,34.460929,70900,NA,NA,NA,NA,NA,NA,2608,7356,15325,15319,5243,15029,39.8,0.4528,35963,31.4,28.7200094551471
"Elmore County","AL","05000US01051",-86.1427385,32.5972286,81799,NA,NA,NA,NA,NA,NA,835,5215,17016,17118,14645,11283,38.3,0.4535,52579,33.6,13.8057921635434
"Etowah County","AL","05000US01055",-86.0344203,34.0476377,102564,NA,NA,NA,NA,NA,NA,2880,8685,24731,22151,11075,16955,41.2,0.4477,41152,26.1,19.1559614094825
"Houston County","AL","05000US01069",-85.2963976,31.1581928,104056,71838,27762,1054,443,0,1031,1698,8156,21501,24051,14517,20571,39.5,0.4799,42321,29.4,25.7385043531544
"Jefferson County","AL","05000US01073",-86.8965359,33.5534439,659521,340506,279979,8366,1799,323,14127,7423,35046,117923,135554,147831,97105,38,0.5145,50180,29.9,18.0176705968599
"Lauderdale County","AL","05000US01077",-87.6509966,34.9041221,92318,NA,NA,NA,NA,NA,NA,1678,4841,22912,17777,13815,12965,41.6,0.4424,43427,25.3,23.6699669966997
"Lee County","AL","05000US01081",-85.3530477,32.6040644,158991,NA,NA,NA,NA,NA,NA,2683,7493,21014,28516,33905,29192,31,0.4773,48056,29.3,13.1701317518617
"Limestone County","AL","05000US01083",-86.9813995,34.8102387,92753,NA,NA,NA,NA,NA,NA,2061,8374,19322,18124,14228,11995,38.8,0.4602,50872,27.9,16.6436637390213
"Madison County","AL","05000US01089",-86.5510803,34.7642377,356967,243688,87415,8383,2547,250,4835,5829,14080,55090,66161,98936,49174,38.8,0.4803,60503,29.2,11.7492291308494
"Marshall County","AL","05000US01095",-86.3216681,34.3095637,95157,NA,NA,NA,NA,NA,NA,3284,7053,21479,21168,10531,21870,38,0.4788,42362,29.4,19.3082992570408
"Mobile County","AL","05000US01097",-88.1965684,30.684573,414836,243284,148001,8269,3328,20,4702,4425,29557,89541,85667,65919,78468,37.4,0.4756,45744,31.1,22.5619030043082
"Montgomery County","AL","05000US01101",-86.2038308,32.2036505,226349,81740,130006,5753,339,36,3774,3958,15674,36639,44409,48055,39278,36.4,0.5013,45395,32.4,18.4438548008852
"Morgan County","AL","05000US01103",-86.8464021,34.4544844,119012,93591,14431,1076,763,0,6454,3238,9033,24468,25545,16219,19679,40.7,0.4814,44378,23.2,24.6898429132453
"St. Clair County","AL","05000US01115",-86.3156631,33.7129627,88019,NA,NA,NA,NA,NA,NA,1352,7856,22149,17659,10665,8971,40.3,0.3772,60158,28,17.1880436501661
"Shelby County","AL","05000US01117",-86.6781042,33.2629366,210622,168484,24066,4535,211,197,8566,1709,7885,27924,43895,60429,16706,38.9,0.4305,73647,24.3,8.63014238946081
"Talladega County","AL","05000US01121",-86.1758045,33.3692774,80103,NA,NA,NA,NA,NA,NA,1484,7572,18221,19081,8402,12706,40.8,0.451,39393,28.2,22.0325538598217
"Tuscaloosa County","AL","05000US01125",-87.5228598,33.2902022,206102,NA,NA,NA,NA,NA,NA,2513,10441,35820,39734,38466,34792,32.9,0.4748,47787,32.9,19.6247883508297
"Walker County","AL","05000US01127",-87.3010918,33.7915714,64967,NA,NA,NA,NA,NA,NA,1964,5733,17432,13423,5016,13919,41.8,0.438,39068,31.8,23.7941583204124
"Benton County","AR","05000US05007",-94.2561871,36.3378246,258291,228649,3896,9343,2656,1350,3509,7268,9534,49236,45237,54165,22874,35.4,0.4329,63631,22.2,14.9300484686858
"Craighead County","AR","05000US05031",-90.6304114,35.8282682,105835,NA,NA,NA,NA,NA,NA,1942,4798,25343,18204,15874,16602,34.5,0.5027,43678,27,16.3489312536106
"Faulkner County","AR","05000US05045",-92.3246543,35.1463563,122227,100295,12771,1404,277,739,2809,900,4581,23926,22803,21557,22285,33.1,0.4724,48506,29.3,15.8789009189337
"Garland County","AR","05000US05051",-93.1469148,34.5788613,97477,NA,NA,NA,NA,NA,NA,913,6475,20535,27843,12701,17824,44,0.4441,42826,30.9,17.7363962451347
"Jefferson County","AR","05000US05069",-91.9307012,34.2776955,70016,NA,NA,NA,NA,NA,NA,1913,5724,16087,13032,8694,14565,39,0.4748,37712,28.6,31.988785046729
"Lonoke County","AR","05000US05085",-91.894132,34.7551137,72228,63910,3884,1032,292,0,1309,548,3251,16853,16004,10186,10548,36.4,0.39,55837,26.2,19.63383598587
"Pulaski County","AR","05000US05119",-92.3165149,34.7739877,393250,218346,142430,8604,799,33,9119,4258,15988,68957,82502,90368,68881,36.8,0.5132,47387,29.1,19.1870594143505
"Saline County","AR","05000US05125",-92.674463,34.6485246,118703,NA,NA,NA,NA,NA,NA,838,5217,26651,25394,23248,8802,41,0.382,64932,24.2,12.353877014595
"Sebastian County","AR","05000US05131",-94.274989,35.1969808,127793,93101,8645,5547,1893,74,13978,4867,7636,29228,28434,14897,21913,37.8,0.4583,42053,26.9,19.4731172265204
"Washington County","AR","05000US05143",-94.2184168,35.9712088,228049,174457,8608,5402,2189,4953,25446,7095,9994,35733,36425,44638,36641,31.5,0.4917,45679,28.5,15.143759161123
"White County","AR","05000US05145",-91.7531583,35.2547221,79263,NA,NA,NA,NA,NA,NA,626,4532,20224,13896,11030,10941,35.8,0.4236,42844,30.7,23.7518160235286
"Apache County","AZ","05000US04001",-109.4937467,35.3858453,73112,16162,112,106,53520,54,694,3238,4230,14071,17542,5263,24122,34.6,0.4892,34685,17.3,54.0113897492257
"Cochise County","AZ","05000US04003",-109.7541201,31.8817928,125770,109899,5077,2783,1875,434,1913,3800,6377,22897,31858,21340,26604,40.8,0.4325,45508,27.1,17.9252996191198
"Coconino County","AZ","05000US04005",-111.7737277,35.8296919,140908,91167,2166,2670,37010,163,2711,1896,5541,18074,26263,28973,22902,30.9,0.4525,55091,30.4,18.3893013837327
"Maricopa County","AZ","05000US04013",-112.4955335,33.3465408,4242997,3227510,230642,168720,82300,9808,371556,123066,193976,629861,922027,896358,626082,36.2,0.4699,58737,29,12.0445905053542
"Mohave County","AZ","05000US04015",-113.7496891,35.717705,205249,187492,1614,2029,4870,231,3539,3077,18637,53416,60615,17523,35646,50.6,0.4645,42423,28.2,16.6242518497573
"Navajo County","AZ","05000US04017",-110.3209076,35.3909336,110026,50543,755,897,49003,0,4536,2938,8116,21081,26042,10173,30844,36.3,0.4847,36998,27.8,36.0020245928484
"Pima County","AZ","05000US04019",-111.7830177,32.1282374,1016206,774608,34344,28713,32670,1550,94614,21541,48684,149691,230298,215628,181277,38.3,0.4684,47560,30.3,12.6416106377936
"Pinal County","AZ","05000US04021",-111.3672569,32.91891,418540,337571,18679,8568,21796,1357,17937,8960,26252,80736,106961,58235,61143,39.2,0.4407,52555,29.2,13.1104932301741
"Yavapai County","AZ","05000US04025",-112.5737449,34.6300439,225562,209960,1130,2368,3491,207,4025,1506,9954,47109,70385,41400,28082,53.1,0.4627,50420,30.4,17.0794633642931
"Yuma County","AZ","05000US04027",-113.910905,32.7739424,205631,112651,3696,2719,2926,266,78192,14696,14229,34499,41773,20023,36136,34.8,0.4269,43518,27,18.0068973067659
"Alameda County","CA","05000US06001",-121.9133039,37.6480811,1647704,688067,174855,483856,10122,13865,171152,63504,63957,203437,287522,526093,172923,37.4,0.4604,89979,29.8,10.138773312448
"Butte County","CA","05000US06007",-121.6019188,39.6659588,226864,187892,3563,10665,2567,811,9577,5192,10017,34807,58155,38076,43838,38.1,0.4888,45177,38.5,13.5892249593715
"Contra Costa County","CA","05000US06013",-121.9515431,37.919479,1135127,658852,97413,183849,3159,4891,104400,37361,35488,133598,239017,323443,97049,39.5,0.4596,91045,31.1,7.16914395534747
